"Story","Title","Result","Date","Stability","Duration (s)"
"Creating new entry list","Creating New Entry List","SUCCESS","2016-07-04T09:48:05.161+01:00","0.0","2.83"
"Creating new role","Naviagte To Admin Page","SUCCESS","2016-07-04T09:49:47.826+01:00","0.0","31.82"
"Filtering entries without description","Naviagte To Chronology Page","SUCCESS","2016-07-04T09:50:33.397+01:00","0.0","32.05"
"Open filter dialog","Naviagte To Chronology Page","SUCCESS","2016-07-04T09:48:09.133+01:00","0.0","31.83"
"Creating new entry list","Naviagte To Chronology Page","SUCCESS","2016-07-04T09:47:19.728+01:00","0.0","45.42"
"Open filter dialog","Open Filter Dialog","SUCCESS","2016-07-04T09:48:40.973+01:00","0.0","2.82"
"Filtering entries without description","Open Filter Dialog","SUCCESS","2016-07-04T09:51:05.454+01:00","0.0","2.72"
"Log in to magnum","Select Workspace","SUCCESS","2016-07-04T09:49:06.127+01:00","0.0","5.56"
"Log in to magnum","User Login Stage One","SUCCESS","2016-07-04T09:48:44.745+01:00","0.0","10.21"
"Log in to magnum","User Login Stage Two","SUCCESS","2016-07-04T09:48:54.975+01:00","0.0","11.14"
"Creat new folder","Verify Creating New Folder","SUCCESS","2016-07-04T09:49:12.616+01:00","0.0","34.29"
"Creating new role","Verify Creating New Role","SUCCESS","2016-07-04T09:50:19.660+01:00","0.0","12.81"
"Filtering entries without description","Verify Filtering Entries Without Description","SUCCESS","2016-07-04T09:51:08.184+01:00","0.0","4.69"
